,pais,poblacion,lat,long
236,Wallis y Futuna,N/S,-13.3,-176.2
223,Tonga,122.580,-20.0,-175.0
190,Samoa,192.001,-13.5833,-172.3333
222,Tokelau,N/S,-9.0,-172.0
191,Samoa Americana,N/S,-14.3333,-170.0
161,Niue,N/S,-19.0333,-169.8667
103,Islas Cook,N/S,-21.2333,-159.7667
174,Polinesia Francesa,N/S,-15.0,-140.0
110,Islas Pitcairn,N/S,-24.7,-127.4
147,México,112.468.855,23.0,-102.0
64,Estados Unidos,310.232.863,38.0,-97.0
38,Canadá,33.679.000,60.0,-95.0
81,Guatemala,13.550.440,15.5,-90.25
57,El Salvador,6.052.064,13.8333,-88.9167
21,Belice,314.522,17.25,-88.75
89,Honduras,7.989.415,15.0,-86.5
158,Nicaragua,5.995.928,13.0,-85.0
50,Costa Rica,4.516.220,10.0,-84.0
101,Islas Caimán,N/S,19.5,-80.5
52,Cuba,11.423.000,21.5,-80.0
170,Panamá,3.410.676,9.0,-80.0
55,Ecuador,14.790.608,-2.0,-77.5
117,Jamaica,2.847.232,18.25,-77.5
16,Bahamas,301.790,24.25,-76.0
173,Perú,29.907.003,-10.0,-76.0
88,Haití,9.648.924,19.0,-72.4167
45,Colombia,47.790.000,4.0,-72.0
112,Islas Turcas y Caicos,N/S,21.75,-71.5833
41,Chile,16.746.491,-30.0,-71.0
185,República Dominicana,9.823.821,19.0,-70.6667
12,Aruba,N/S,12.5,-69.9667
7,Antillas Neerlandesas,N/S,12.25,-68.75
177,Puerto Rico,N/S,18.25,-66.5
234,Venezuela,27.223.228,8.0,-66.0
26,Bolivia,9.947.418,-17.0,-65.0
114,Islas Vírgenes de los Estados Unidos,N/S,18.3333,-64.8333
23,Bermudas,N/S,32.3333,-64.75
113,Islas Vírgenes Británicas,N/S,18.5,-64.5
10,Argentina,41.343.201,-34.0,-64.0
5,Anguila,N/S,18.25,-63.1667
192,San Cristóbal y Nieves,51.134,17.3333,-62.75
153,Montserrat,N/S,16.75,-62.2
6,Antigua y Barbuda,86.754,17.05,-61.8
76,Granada,107.818,12.1167,-61.6667
79,Guadalupe,N/S,16.25,-61.5833
54,Dominica,72.813,15.4167,-61.3333
195,San Vicente y las Granadinas,104.217,13.25,-61.2
197,Santa Lucía,160.922,13.8833,-61.1333
224,Trinidad y Tobago,1.228.691,11.0,-61.0
143,Martinica,N/S,14.6667,-61.0
18,Barbados,285.653,13.1667,-59.5333
